Datetime,Adj Close,Close,High,Low,Open,Volume
2026-07-06 04:00:00-04:00,360.6303,360.6303,361.22,358.5892,360.67,0
2026-07-06 04:01:00-04:00,360.9,360.9,360.92,358.77,359.69,0
2026-07-06 04:02:00-04:00,360.7387,360.7387,360.9,360.564,360.8,0
2026-07-06 04:03:00-04:00,360.89,360.89,361.02,360.7537,360.88,0
2026-07-06 04:04:00-04:00,360.75,360.75,361.05,360.709,360.85,0
2026-07-06 04:05:00-04:00,359.75,359.75,360.812,359.05,360.812,0
2026-07-06 04:06:00-04:00,360.49,360.49,360.8117,358.89,360.578,0
2026-07-06 04:07:00-04:00,360.67,360.67,360.7561,360.5,360.5,0
2026-07-06 04:08:00-04:00,360.6611,360.6611,360.67,360.6611,360.67,0
2026-07-06 04:09:00-04:00,360.7395,360.7395,360.82,360.5451,360.5451,0
2026-07-06 04:10:00-04:00,360.43,360.43,360.67,360.31,360.67,0
2026-07-06 04:11:00-04:00,360.72,360.72,360.72,360.48,360.48,0
2026-07-06 04:12:00-04:00,360.653,360.653,360.7072,360.32,360.41,0
2026-07-06 04:13:00-04:00,360.5,360.5,360.5988,360.4927,360.4927,0
2026-07-06 04:14:00-04:00,360.254,360.254,360.49,360.21,360.21,0
2026-07-06 04:15:00-04:00,360.64,360.64,360.78,360.2787,360.2787,0
2026-07-06 04:16:00-04:00,360.1838,360.1838,360.32,360.1838,360.32,0
2026-07-06 04:17:00-04:00,360.2225,360.2225,360.3273,360.2225,360.3273,0
2026-07-06 04:18:00-04:00,360.24,360.24,360.24,360.23,360.23,0
2026-07-06 04:19:00-04:00,360.27,360.27,360.3058,360.27,360.3058,0
2026-07-06 04:20:00-04:00,360.3765,360.3765,360.3765,360.3765,360.3765,0
2026-07-06 04:21:00-04:00,360.33,360.33,360.33,360.29,360.33,0
2026-07-06 04:22:00-04:00,360.25,360.25,360.33,360.25,360.25,0
2026-07-06 04:23:00-04:00,360.4688,360.4688,360.4688,360.1089,360.1089,0
2026-07-06 04:24:00-04:00,360.5088,360.5088,360.5088,360.5088,360.5088,0
2026-07-06 04:25:00-04:00,360.25,360.25,360.51,360.2244,360.51,0
2026-07-06 04:26:00-04:00,360.2917,360.2917,360.2917,360.2809,360.2809,0
2026-07-06 04:27:00-04:00,360.47,360.47,360.47,360.21,360.3,0
2026-07-06 04:28:00-04:00,360.16,360.16,360.34,360.14,360.34,0
2026-07-06 04:29:00-04:00,360.1957,360.1957,360.1957,360.03,360.11,0
2026-07-06 04:30:00-04:00,360.3088,360.3088,360.3988,360.06,360.3988,0
2026-07-06 04:31:00-04:00,360.2347,360.2347,360.2347,360.07,360.19,0
2026-07-06 04:32:00-04:00,360.08,360.08,360.08,360.08,360.08,0
2026-07-06 04:33:00-04:00,360.09,360.09,360.1719,360.04,360.04,0
2026-07-06 04:34:00-04:00,360.1,360.1,360.1292,360.0311,360.09,0
2026-07-06 04:35:00-04:00,360.1177,360.1177,360.1177,360.0242,360.08,0
2026-07-06 04:36:00-04:00,360.02,360.02,360.09,360.02,360.05,0
2026-07-06 04:37:00-04:00,360.27,360.27,360.27,360.04,360.04,0
2026-07-06 04:38:00-04:00,360.27,360.27,360.3,360.11,360.17,0
2026-07-06 04:39:00-04:00,360.35,360.35,360.36,360.13,360.1307,0
2026-07-06 04:40:00-04:00,360.3,360.3,360.3,360.3,360.3,0
2026-07-06 04:41:00-04:00,360.34,360.34,360.34,360.2549,360.34,0
2026-07-06 04:42:00-04:00,360.1891,360.1891,360.3,360.0588,360.3,0
2026-07-06 04:43:00-04:00,360.136,360.136,360.19,360.136,360.19,0
2026-07-06 04:44:00-04:00,360.32,360.32,360.36,360.2235,360.36,0
2026-07-06 04:45:00-04:00,360.3,360.3,360.3988,360.3,360.3988,0
2026-07-06 04:46:00-04:00,360.232,360.232,360.3755,360.232,360.3755,0
2026-07-06 04:47:00-04:00,360.29,360.29,360.3988,360.29,360.29,0
2026-07-06 04:48:00-04:00,360.25,360.25,360.29,360.25,360.29,0
2026-07-06 04:49:00-04:00,360.27,360.27,360.27,360.27,360.27,0
2026-07-06 04:50:00-04:00,360.3089,360.3089,360.33,360.28,360.28,0
2026-07-06 04:51:00-04:00,360.42,360.42,360.4688,360.42,360.45,0
2026-07-06 04:52:00-04:00,360.57,360.57,360.57,360.57,360.57,0
2026-07-06 04:53:00-04:00,360.48,360.48,360.62,360.4635,360.57,0
2026-07-06 04:54:00-04:00,360.54,360.54,360.5585,360.52,360.5585,0
2026-07-06 04:55:00-04:00,360.51,360.51,360.54,360.49,360.52,0
2026-07-06 04:56:00-04:00,360.5437,360.5437,360.7147,360.5437,360.55,0
2026-07-06 04:57:00-04:00,360.57,360.57,360.57,360.56,360.57,0
2026-07-06 04:58:00-04:00,360.62,360.62,360.62,360.6,360.6,0
2026-07-06 04:59:00-04:00,360.69,360.69,360.7,360.662,360.7,0
2026-07-06 05:00:00-04:00,360.756,360.756,360.756,360.5942,360.69,0
2026-07-06 05:01:00-04:00,360.787,360.787,360.787,360.71,360.71,0
2026-07-06 05:02:00-04:00,360.62,360.62,360.79,360.62,360.69,0
2026-07-06 05:04:00-04:00,360.7,360.7,360.79,360.66,360.6686,0
2026-07-06 05:05:00-04:00,360.5942,360.5942,360.5988,360.5942,360.5988,0
2026-07-06 05:06:00-04:00,360.71,360.71,360.79,360.6634,360.6634,0
2026-07-06 05:07:00-04:00,360.84,360.84,360.84,360.72,360.77,0
2026-07-06 05:08:00-04:00,360.9,360.9,360.93,360.89,360.93,0
2026-07-06 05:09:00-04:00,360.9377,360.9377,360.95,360.8953,360.94,0
2026-07-06 05:10:00-04:00,360.81,360.81,360.93,360.81,360.93,0
2026-07-06 05:11:00-04:00,360.79,360.79,360.82,360.7532,360.82,0
2026-07-06 05:12:00-04:00,360.7385,360.7385,360.82,360.7385,360.8184,0
2026-07-06 05:13:00-04:00,360.72,360.72,360.8548,360.72,360.8548,0
2026-07-06 05:14:00-04:00,360.9,360.9,360.9,360.72,360.72,0
2026-07-06 05:15:00-04:00,360.7682,360.7682,360.7682,360.76,360.76,0
2026-07-06 05:16:00-04:00,360.79,360.79,360.8932,360.79,360.8932,0
2026-07-06 05:17:00-04:00,360.79,360.79,360.79,360.79,360.79,0
2026-07-06 05:19:00-04:00,360.75,360.75,360.85,360.75,360.85,0
2026-07-06 05:20:00-04:00,360.72,360.72,360.8,360.72,360.78,0
2026-07-06 05:21:00-04:00,360.6768,360.6768,360.76,360.6768,360.7431,0
