Datetime,Adj Close,Close,High,Low,Open,Volume
2026-07-06 04:00:00-04:00,123.843,123.843,124.0988,121.8656,124.0,0
2026-07-06 04:01:00-04:00,123.7425,123.7425,124.0,121.78,123.61,0
2026-07-06 04:02:00-04:00,123.82,123.82,123.89,123.6061,123.73,0
2026-07-06 04:03:00-04:00,123.9148,123.9148,123.93,123.82,123.87,0
2026-07-06 04:04:00-04:00,123.964,123.964,124.07,123.8822,123.93,0
2026-07-06 04:05:00-04:00,124.16,124.16,124.2,121.84,124.01,0
2026-07-06 04:06:00-04:00,124.55,124.55,124.55,124.2432,124.2432,0
2026-07-06 04:07:00-04:00,124.5879,124.5879,124.59,124.41,124.4977,0
2026-07-06 04:08:00-04:00,124.67,124.67,124.77,124.576,124.576,0
2026-07-06 04:09:00-04:00,124.64,124.64,124.78,124.64,124.71,0
2026-07-06 04:10:00-04:00,124.38,124.38,124.6952,124.38,124.6267,0
2026-07-06 04:11:00-04:00,124.0,124.0,124.35,123.86,124.35,0
2026-07-06 04:12:00-04:00,123.52,123.52,123.899,123.52,123.88,0
2026-07-06 04:13:00-04:00,123.472,123.472,123.617,123.4,123.51,0
2026-07-06 04:14:00-04:00,123.52,123.52,123.5742,123.45,123.45,0
2026-07-06 04:15:00-04:00,123.38,123.38,123.6194,123.38,123.5548,0
2026-07-06 04:16:00-04:00,123.12,123.12,123.3792,123.09,123.33,0
2026-07-06 04:17:00-04:00,123.26,123.26,123.29,123.0586,123.0586,0
2026-07-06 04:18:00-04:00,123.44,123.44,123.4896,123.1836,123.1836,0
2026-07-06 04:19:00-04:00,123.4,123.4,123.57,123.27,123.38,0
2026-07-06 04:20:00-04:00,123.5499,123.5499,123.5499,123.261,123.43,0
2026-07-06 04:21:00-04:00,123.42,123.42,123.5182,123.32,123.5182,0
2026-07-06 04:22:00-04:00,123.4,123.4,123.5697,123.34,123.4,0
2026-07-06 04:23:00-04:00,123.3104,123.3104,123.5,123.3104,123.46,0
2026-07-06 04:24:00-04:00,123.77,123.77,123.818,123.4661,123.4661,0
2026-07-06 04:25:00-04:00,123.805,123.805,124.0,123.7,123.81,0
2026-07-06 04:26:00-04:00,123.97,123.97,123.9906,123.83,123.92,0
2026-07-06 04:27:00-04:00,124.0,124.0,124.05,123.8595,124.0,0
2026-07-06 04:28:00-04:00,123.9269,123.9269,123.9827,123.83,123.92,0
2026-07-06 04:29:00-04:00,123.95,123.95,123.98,123.86,123.88,0
2026-07-06 04:30:00-04:00,124.04,124.04,124.05,123.9101,123.9101,0
2026-07-06 04:31:00-04:00,123.97,123.97,124.2,123.9,124.0512,0
2026-07-06 04:32:00-04:00,123.8692,123.8692,124.1,123.84,124.1,0
2026-07-06 04:33:00-04:00,123.72,123.72,123.97,123.72,123.89,0
2026-07-06 04:34:00-04:00,123.84,123.84,123.84,123.721,123.73,0
2026-07-06 04:35:00-04:00,123.73,123.73,123.8427,123.73,123.78,0
2026-07-06 04:36:00-04:00,123.6003,123.6003,123.7608,123.5,123.7608,0
2026-07-06 04:37:00-04:00,123.71,123.71,123.73,123.5957,123.6932,0
2026-07-06 04:38:00-04:00,123.7436,123.7436,123.77,123.7,123.7,0
2026-07-06 04:39:00-04:00,123.85,123.85,123.85,123.7604,123.7604,0
2026-07-06 04:40:00-04:00,124.24,124.24,124.3,123.94,123.99,0
2026-07-06 04:41:00-04:00,124.35,124.35,124.35,124.18,124.2885,0
2026-07-06 04:42:00-04:00,124.41,124.41,124.5,124.22,124.3,0
2026-07-06 04:43:00-04:00,124.41,124.41,124.55,124.24,124.5,0
2026-07-06 04:44:00-04:00,124.3214,124.3214,124.41,124.27,124.41,0
2026-07-06 04:45:00-04:00,124.3022,124.3022,124.33,124.24,124.33,0
2026-07-06 04:46:00-04:00,124.13,124.13,124.31,124.13,124.2023,0
2026-07-06 04:47:00-04:00,124.4,124.4,124.52,124.17,124.1832,0
2026-07-06 04:48:00-04:00,124.45,124.45,124.45,124.32,124.4,0
2026-07-06 04:49:00-04:00,124.457,124.457,124.48,124.31,124.45,0
2026-07-06 04:50:00-04:00,124.4,124.4,124.48,124.31,124.48,0
