Datetime,Open,High,Low,Close,Adj Close,Volume
2024-11-20T04:05:00-05:00,133.62,133.64,133.5,133.5,133.5,696
2024-11-20T04:09:00-05:00,133.65,133.65,133.65,133.65,133.65,190
2024-11-20T04:10:00-05:00,133.1,133.1,133.1,133.1,133.1,232
2024-11-20T04:12:00-05:00,133.12,133.12,133.1,133.1,133.1,451
2024-11-20T04:16:00-05:00,133.03,133.03,133,133,133,1774
2024-11-20T04:18:00-05:00,133.1,133.1,133.1,133.1,133.1,100
2024-11-20T04:20:00-05:00,133.28,133.28,133.28,133.28,133.28,305
2024-11-20T04:25:00-05:00,133.29,133.29,133.29,133.29,133.29,142
2024-11-20T04:26:00-05:00,133.3,133.3,133.3,133.3,133.3,273
2024-11-20T04:42:00-05:00,133.47,133.6,133.47,133.6,133.6,1476
2024-11-20T04:44:00-05:00,133.51,133.51,133.34,133.34,133.34,9543
2024-11-20T04:49:00-05:00,133.09,133.09,133,133,133,1315
2024-11-20T04:53:00-05:00,132.95,132.96,132.95,132.96,132.96,291
2024-11-20T04:59:00-05:00,133.12,133.12,133.12,133.12,133.12,200
2024-11-20T05:13:00-05:00,132.84,132.84,132.84,132.84,132.84,221
2024-11-20T05:19:00-05:00,132.5,132.9,132.5,132.9,132.9,994
2024-11-20T05:24:00-05:00,132.62,132.62,132.6,132.6,132.6,1285
2024-11-20T05:26:00-05:00,132.6,132.6,132.6,132.6,132.6,1734
2024-11-20T05:28:00-05:00,132.51,132.51,132.51,132.51,132.51,144
2024-11-20T05:29:00-05:00,132.53,132.53,132.53,132.53,132.53,154
2024-11-20T05:30:00-05:00,132.53,132.53,132.53,132.53,132.53,354
2024-11-20T05:50:00-05:00,132.55,132.55,132.55,132.55,132.55,204
2024-11-20T06:00:00-05:00,132.52,132.52,132.52,132.52,132.52,874
2024-11-20T06:22:00-05:00,132.57,132.57,132.57,132.57,132.57,331
2024-11-20T06:23:00-05:00,132.56,132.56,132.56,132.56,132.56,470
2024-11-20T06:35:00-05:00,132.39,132.39,132.36,132.36,132.36,889
2024-11-20T06:36:00-05:00,132.3,132.33,132.3,132.31,132.31,2132
2024-11-20T06:59:00-05:00,132.52,132.52,132.51,132.51,132.51,1007
2024-11-20T07:03:00-05:00,132.74,132.74,132.74,132.74,132.74,491
2024-11-20T07:07:00-05:00,132.67,132.73,132.53,132.73,132.73,1191
2024-11-20T07:08:00-05:00,132.73,132.73,132.56,132.56,132.56,405
2024-11-20T07:17:00-05:00,132.8,132.8,132.8,132.8,132.8,276
2024-11-20T07:19:00-05:00,132.82,132.96,132.8,132.95,132.95,1409
2024-11-20T07:21:00-05:00,132.95,132.95,132.95,132.95,132.95,498
2024-11-20T07:22:00-05:00,132.95,132.96,132.95,132.96,132.96,501
2024-11-20T07:25:00-05:00,132.82,132.82,132.82,132.82,132.82,226
2024-11-20T07:28:00-05:00,132.8,132.8,132.8,132.8,132.8,1430
2024-11-20T07:33:00-05:00,132.66,132.66,132.66,132.66,132.66,100
2024-11-20T07:34:00-05:00,132.6,132.6,132.6,132.6,132.6,327
2024-11-20T07:46:00-05:00,132.61,132.61,132.61,132.61,132.61,317
2024-11-20T07:53:00-05:00,132.63,132.63,132.63,132.63,132.63,232
2024-11-20T07:55:00-05:00,132.63,132.63,132.63,132.63,132.63,285
2024-11-20T08:00:00-05:00,132.55,134,132.53,132.9789,132.9789,9371
2024-11-20T08:01:00-05:00,132.8,132.9879,132.8,132.9879,132.9879,495
2024-11-20T08:02:00-05:00,132.9879,132.9879,132.94,132.94,132.94,451
2024-11-20T08:03:00-05:00,132.97,132.97,132.97,132.97,132.97,313
2024-11-20T08:04:00-05:00,132.94,132.94,132.94,132.94,132.94,226
2024-11-20T08:05:00-05:00,132.94,133,132.94,133,133,709
2024-11-20T08:08:00-05:00,132.9959,132.9959,132.9,132.9,132.9,422
2024-11-20T08:09:00-05:00,132.8,132.8,132.8,132.8,132.8,111
2024-11-20T08:10:00-05:00,132.9979,132.9979,132.9979,132.9979,132.9979,650
2024-11-20T08:11:00-05:00,132.6038,132.6038,132.6,132.6,132.6,1096
2024-11-20T08:12:00-05:00,132.5376,132.5376,132.5376,132.5376,132.5376,573
2024-11-20T08:13:00-05:00,132.6,132.6,132.6,132.6,132.6,267
2024-11-20T08:14:00-05:00,132.6,132.6,132.6,132.6,132.6,194
2024-11-20T08:20:00-05:00,132.4943,132.4943,132.4943,132.4943,132.4943,170
2024-11-20T08:23:00-05:00,132.6,132.6,132.6,132.6,132.6,204
2024-11-20T08:25:00-05:00,132.59,132.59,132.58,132.58,132.58,826
2024-11-20T08:26:00-05:00,132.53,132.53,132.53,132.53,132.53,287
2024-11-20T08:31:00-05:00,132.35,132.35,132.35,132.35,132.35,851
2024-11-20T08:32:00-05:00,132.25,132.35,132.25,132.35,132.35,473
2024-11-20T08:35:00-05:00,132.12,132.12,132,132,132,3786
2024-11-20T08:36:00-05:00,131.58,132.2274,131.58,132.2274,132.2274,736
2024-11-20T08:37:00-05:00,131.88,131.88,131.75,131.75,131.75,2254
2024-11-20T08:39:00-05:00,131.58,131.58,131.58,131.58,131.58,691
2024-11-20T08:40:00-05:00,131.74,131.74,131.74,131.74,131.74,316
2024-11-20T08:41:00-05:00,131.67,131.67,131.45,131.45,131.45,2142
2024-11-20T08:42:00-05:00,131.18,131.56,131.18,131.56,131.56,404
2024-11-20T08:43:00-05:00,131.1277,131.44,131.1277,131.44,131.44,1629
2024-11-20T08:45:00-05:00,131.44,131.44,131.44,131.44,131.44,479
2024-11-20T08:47:00-05:00,131.12,131.12,131.12,131.12,131.12,247
2024-11-20T08:48:00-05:00,131.21,131.21,131.21,131.21,131.21,453
2024-11-20T08:49:00-05:00,131.39,131.46,131.39,131.46,131.46,440
2024-11-20T08:50:00-05:00,131.44,131.44,131.44,131.44,131.44,279
2024-11-20T08:51:00-05:00,131.39,131.39,131.39,131.39,131.39,446
2024-11-20T08:52:00-05:00,131.46,131.46,131.46,131.46,131.46,422
2024-11-20T08:53:00-05:00,131.46,131.4701,131.43,131.4701,131.4701,757
2024-11-20T08:54:00-05:00,131.47,131.47,131.47,131.47,131.47,317
2024-11-20T08:55:00-05:00,131.6,131.7,131.6,131.7,131.7,781
2024-11-20T08:56:00-05:00,131.52,131.7297,131.52,131.6597,131.6597,812
2024-11-20T08:57:00-05:00,131.6,131.65,131.57,131.65,131.65,498
2024-11-20T08:58:00-05:00,131.55,131.55,131.5001,131.54,131.54,480
2024-11-20T08:59:00-05:00,131.5,131.6,131.5,131.6,131.6,415
2024-11-20T09:00:00-05:00,131.6001,131.73,131.6,131.73,131.73,1472
2024-11-20T09:01:00-05:00,131.61,131.61,131.6,131.6,131.6,2750
2024-11-20T09:04:00-05:00,131.73,131.73,131.73,131.73,131.73,777
2024-11-20T09:05:00-05:00,131.5,131.5,131.5,131.5,131.5,589
2024-11-20T09:06:00-05:00,131.42,131.495,131.42,131.43,131.43,1456
2024-11-20T09:07:00-05:00,131.6099,131.6099,131.6099,131.6099,131.6099,292
2024-11-20T09:08:00-05:00,131.61,131.61,131.61,131.61,131.61,351
2024-11-20T09:09:00-05:00,131.52,131.73,131.52,131.73,131.73,342
2024-11-20T09:12:00-05:00,131.58,131.58,131.55,131.55,131.55,412
2024-11-20T09:13:00-05:00,131.59,131.63,131.59,131.63,131.63,1119
2024-11-20T09:15:00-05:00,131.58,131.58,131.58,131.58,131.58,259
2024-11-20T09:19:00-05:00,131.69,131.69,131.69,131.69,131.69,292
