sym,day,entry_i,side,sgrade,book_r,clock_flat_1r,clock_flat_2r,clock_hod_only,clock_30_30_30_10,clock_50_20_20_10,clock_flat_3r,clock_flat_4r,clock_flat_5r,noclock_flat_1r,noclock_flat_2r,noclock_hod_only,noclock_30_30_30_10,noclock_50_20_20_10,noclock_flat_3r,noclock_flat_4r,noclock_flat_5r
NVDA,2026-01-26,9,L,C,0.872,1.000,-1.250,0.442,-0.161,0.012,-1.250,-1.250,-1.250,1.000,-1.250,0.442,-0.161,0.012,-1.250,-1.250,-1.250
NVDA,2026-02-05,47,S,S,-1.000,1.000,2.000,-1.129,-1.214,-1.190,3.000,-1.129,-1.129,1.000,2.000,-1.129,-1.214,-1.190,3.000,-1.129,-1.129
NVDA,2026-02-19,47,L,C,-1.000,-1.250,-1.250,-1.250,-0.940,-1.028,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-0.940,-1.028,-1.250,-1.250,-1.250
NVDA,2026-03-18,21,S,C,-1.000,-1.217,-1.217,-1.217,-1.240,-1.233,-1.217,-1.217,-1.217,-1.217,-1.217,-1.217,-1.240,-1.233,-1.217,-1.217,-1.217
NVDA,2026-03-19,10,S,C,-1.000,-1.250,-1.250,-1.250,-0.470,-0.693,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-0.470,-0.693,-1.250,-1.250,-1.250
NVDA,2026-03-25,31,L,C,5.000,1.000,2.000,4.806,5.145,5.048,3.000,4.000,5.000,1.000,2.000,4.806,5.145,5.048,3.000,4.000,5.000
NVDA,2026-05-27,9,S,C,4.716,1.000,2.000,2.824,1.774,2.074,3.000,4.000,5.000,1.000,2.000,2.824,1.774,2.074,3.000,4.000,5.000
NVDA,2026-06-25,65,S,C,-1.000,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250
NVDA,2026-06-26,7,S,C,-1.000,1.000,-1.250,-1.250,-0.895,-0.996,-1.250,-1.250,-1.250,1.000,-1.250,-1.250,-0.895,-0.996,-1.250,-1.250,-1.250
NVDA,2026-06-29,52,S,S,-1.000,1.000,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,1.000,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250
NVDA,2026-07-02,24,L,C,0.709,1.000,-1.250,1.366,1.566,1.509,-1.250,-1.250,-1.250,1.000,-1.250,1.366,1.566,1.509,-1.250,-1.250,-1.250
NVDA,2026-07-08,47,L,C,-1.000,1.000,-1.071,-1.071,-0.700,-0.806,-1.071,-1.071,-1.071,1.000,-1.071,-1.071,-0.700,-0.806,-1.071,-1.071,-1.071
NVDA,2026-07-14,18,S,C,-1.000,-1.250,-1.250,-1.250,-0.884,-0.989,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-0.884,-0.989,-1.250,-1.250,-1.250
NVDA,2026-07-31,10,L,C,-1.000,1.000,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,1.000,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250
NVDA,2026-08-05,16,L,C,3.400,1.000,2.000,3.127,3.331,3.272,3.000,-1.000,-1.000,1.000,2.000,3.127,3.331,3.272,3.000,-1.000,-1.000
NVDA,2026-08-06,15,L,C,1.137,1.000,2.000,0.783,0.858,0.837,-1.150,-1.150,-1.150,1.000,2.000,0.783,0.858,0.837,-1.150,-1.150,-1.150
TSLA,2024-08-22,8,S,A,-1.000,1.000,-1.140,-1.140,-1.217,-1.195,-1.140,-1.140,-1.140,1.000,-1.140,-1.140,-1.217,-1.195,-1.140,-1.140,-1.140
TSLA,2024-09-09,82,S,C,-1.000,1.000,1.350,1.350,1.350,1.350,1.350,1.350,1.350,1.000,2.000,-1.129,-1.109,-1.114,-1.129,-1.129,-1.129
TSLA,2024-09-12,31,L,S,-1.000,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250
TSLA,2024-09-23,22,L,C,-1.000,1.000,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,1.000,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250
TSLA,2024-10-28,55,L,S,2.159,1.000,2.000,2.900,2.745,2.790,3.000,4.000,5.000,1.000,2.000,2.900,2.745,2.790,3.000,4.000,5.000
TSLA,2024-10-29,16,S,A,3.989,1.000,2.000,2.337,4.275,3.721,3.000,4.000,5.000,1.000,2.000,2.337,4.275,3.721,3.000,4.000,5.000
TSLA,2024-10-30,19,S,A,-1.000,-1.250,-1.250,-1.250,-0.694,-0.853,-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-0.694,-0.853,-1.250,-1.250,-1.250
