Account Name,Adjusted Cost,Adjusted Proceeds,Avg Buy Price,Avg Sell Price,Exit Efficiency,Best Exit,Best Exit Price,Best Exit Time,Close Date,Close Time,Commission,Custom Tags,Duration,Entry Price,Executions,Exit Price,Gross P&L,Trade Risk,Initial Target,Instrument,Spread Type,Mistakes,Net P&L,Net ROI,Open Date,Open Time,Pips,Reward Ratio,Points,Position MAE,Position MFE,Price MAE,Price MFE,Realized RR,Return Per Pip,Reviewed,Side,Status,Playbook,Symbol,Ticks Value,Ticks Per Contract,Fee,Swap,Rating,Quantity,Zella Score
Backtesting,360277.5,359685.0,480.37,479.58,,,,,2024-01-03,09:46:16 EST,0.0,"",136.001,480.37,2,479.58,-592.5,-592.5,1192.5,NVDA,stock,"",-592.5,-0.00164457,2024-01-03,09:43:59 EST,,2.01265823,,-324312.75,0.0,47.953,48.16,-1.0,,false,long,Loss,"Break and Retest , One Candle Rule",NVDA,,,0.0,0.0,,750.0,-0.18269402
Backtesting,180727.5,179812.5,240.97,239.75,28.98,3157.5,236.76,2024-01-03 15:18:00 UTC,2024-01-03,09:55:41 EST,0.0,"",401.001,240.97,2,239.75,915.0,-427.5,915.0,TSLA,stock,"",915.0,0.00508863,2024-01-03,09:48:59 EST,,2.14035088,,-172.5,1140.0,241.2,239.45,2.14035088,,false,short,Win,"Break and Retest , One Candle Rule",TSLA,,,0.0,0.0,,750.0,80.26315789
Backtesting,289269.6,288768.0,241.058,240.64,,1346.28,242.18,2024-01-04 15:35:00 UTC,2024-01-04,10:05:53 EST,0.0,"",53.0,241.0581,2,240.64,-501.72,-501.72,1130.28,TSLA,stock,"",-501.72,-0.00173444,2024-01-04,10:05:00 EST,,2.25281033,,-825.24,158.28,240.3704,241.19,-1.0,,false,long,Loss,"Break and Retest , One Candle Rule",TSLA,,,0.0,0.0,,1200.0,-60.7968591
Backtesting,357487.5,358642.5,476.65,478.19,,321856.5,47.508,2024-01-04 14:43:00 UTC,2024-01-04,10:07:01 EST,0.0,"",1441.0,476.65,2,478.19,-1155.0,-1155.0,2565.0,NVDA,stock,"",-1155.0,-0.00322048,2024-01-04,09:43:00 EST,,2.22077922,,321579.75,321856.5,47.877,47.508,-1.0,,false,short,Loss,"Break and Retest , One Candle Rule",NVDA,,,0.0,0.0,,750.0,-116615.98915989
Backtesting,578688.0,577536.0,241.12,240.64,,2544.0,242.18,2024-01-04 15:38:00 UTC,2024-01-04,10:12:09 EST,0.0,"",249.0,241.12,2,240.64,-1152.0,-1152.0,2112.0,TSLA,stock,"",-1152.0,-0.00199071,2024-01-04,10:08:00 EST,,1.83333333,,-1224.0,984.0,240.61,241.53,-1.0,,false,long,Loss,"Break and Retest , One Candle Rule",TSLA,,,0.0,0.0,,2400.0,-94.11764706
Backtesting,1151724.0,1154592.0,479.885,481.08,,,,,2024-01-04,10:51:58 EST,0.0,"",298.0,479.885,2,481.08,2868.0,-948.0,2868.0,NVDA,stock,"",2868.0,0.00249018,2024-01-04,10:47:00 EST,,3.02531646,,-1036567.2,0.0,47.982,48.115,3.02531646,,false,long,Win,"Break and Retest , One Candle Rule",NVDA,,,0.0,0.0,,2400.0,0.2766825
Backtesting,582529.2,584844.0,485.441,487.37,,,,,2024-01-05,09:35:22 EST,0.0,"",82.0,485.4408,2,487.37,2315.04,-996.96,2315.04,NVDA,stock,"",2315.04,0.00397412,2024-01-05,09:34:00 EST,,2.32209918,,-524313.36,0.0,48.513,48.7477,2.32209918,,false,long,Win,"Break and Retest , One Candle Rule",NVDA,,,0.0,0.0,,1200.0,0.44153748
Backtesting,285492.0,286644.0,237.91,238.87,43.45,2651.52,240.1196,2024-01-05 15:30:00 UTC,2024-01-05,10:00:11 EST,0.0,"",11.0,237.91,2,238.87,1152.0,-660.0,1152.0,TSLA,stock,"",1152.0,0.00403514,2024-01-05,10:00:00 EST,,1.74545455,,-66.0,1224.0,237.855,238.93,1.74545455,,false,long,Win,"Break and Retest , One Candle Rule",TSLA,,,0.0,0.0,,1200.0,94.11764706
Backtesting,365970.0,367470.0,487.96,489.96,,,,,2024-01-05,10:31:39 EST,0.0,"",1539.0,487.96,2,489.96,1500.0,-742.5,1500.0,NVDA,stock,"",1500.0,0.0040987,2024-01-05,10:06:00 EST,,2.02020202,,-329442.825,0.0,48.7029,49.0,2.02020202,,false,long,Win,"Break and Retest , One Candle Rule",NVDA,,,0.0,0.0,,750.0,0.45531421
Backtesting,375964.5,378352.5,501.286,504.47,,,,,2024-01-08,09:40:14 EST,0.0,"",134.0,501.2862,2,504.47,2387.85,-1204.65,2387.85,NVDA,stock,"",2387.85,0.00635126,2024-01-08,09:38:00 EST,,1.982194,,-338371.2,0.0,50.1246,50.48,1.982194,,false,long,Win,"Break and Retest , One Candle Rule",NVDA,,,0.0,0.0,,750.0,0.70568949
Backtesting,356775.0,356235.0,237.85,237.49,,1290.0,238.71,2024-01-08 16:04:00 UTC,2024-01-08,10:09:02 EST,0.0,"",302.0,237.85,2,237.49,-540.0,-540.0,2040.0,TSLA,stock,"",-540.0,-0.00151356,2024-01-08,10:04:00 EST,,3.77777778,,-690.0,870.0,237.39,238.43,-1.0,,false,long,Loss,"Break and Retest , One Candle Rule",TSLA,,,0.0,0.0,,1500.0,-78.26086957
Backtesting,414668.0,415712.0,518.335,519.64,,373260.72,51.7591,2024-01-09 14:41:00 UTC,2024-01-09,09:42:09 EST,0.0,"",69.0,518.335,2,519.64,-1044.0,-1044.0,2196.0,NVDA,stock,"",-1044.0,-0.00251135,2024-01-09,09:41:00 EST,,2.10344828,,373084.0,373227.2,51.98,51.801,-1.0,,false,short,Loss,"Break and Retest , One Candle Rule",NVDA,,,0.0,0.0,,800.0,-261262.5698324
Backtesting,186980.8,185584.0,233.726,231.98,71.67,1948.72,231.29,2024-01-10 14:39:00 UTC,2024-01-10,09:55:56 EST,0.0,"",1016.0,233.7259,2,231.98,1396.72,-691.28,1396.72,TSLA,stock,"",1396.72,0.00752608,2024-01-10,09:39:00 EST,,2.02048374,,-251.2,1572.72,234.0399,231.76,2.02048374,,false,short,Win,"Break and Retest , One Candle Rule",TSLA,,,0.0,0.0,,800.0,88.80919681
Backtesting,433712.0,434608.0,542.14,543.26,,,,,2024-01-10,10:17:24 EST,0.0,"",84.0,542.1399,2,543.26,896.08,-431.92,896.08,NVDA,stock,"",896.08,0.00206607,2024-01-10,10:16:00 EST,,2.07464345,,-390378.16,0.0,54.1672,54.335,2.07464345,,false,long,Win,"Break and Retest , One Candle Rule",NVDA,,,0.0,0.0,,800.0,0.22954153
Backtesting,229270.0,230280.0,229.27,230.28,,1720.0,227.55,2024-01-11 14:33:00 UTC,2024-01-11,09:40:43 EST,0.0,"",463.0,229.27,2,230.28,-1010.0,-1010.0,2030.0,TSLA,stock,"",-1010.0,-0.00438596,2024-01-11,09:33:00 EST,,2.00990099,,-1330.0,1720.0,230.6,227.55,-1.0,,false,short,Loss,"Break and Retest , One Candle Rule",TSLA,,,0.0,0.0,,1000.0,-75.93984962
Backtesting,437328.0,438408.0,546.66,548.01,,394222.4,53.882,2024-01-11 14:49:00 UTC,2024-01-11,09:56:06 EST,0.0,"",426.0,546.66,2,548.01,-1080.0,-1080.0,2184.0,NVDA,stock,"",-1080.0,-0.00246346,2024-01-11,09:49:00 EST,,2.02222222,,393464.8,393727.2,54.829,54.501,-1.0,,false,short,Loss,"Break and Retest , One Candle Rule",NVDA,,,0.0,0.0,,800.0,-150360.06097561
Backtesting,546595.0,543260.0,546.595,543.26,0.68,493035.0,53.56,2024-01-11 16:04:00 UTC,2024-01-11,10:05:22 EST,0.0,"",82.0,546.595,2,543.26,3335.0,-1425.0,3335.0,NVDA,stock,"",3335.0,0.00613887,2024-01-11,10:04:00 EST,,2.34035088,,491926.8,492282.0,54.6682,54.313,2.34035088,,false,short,Win,"Break and Retest , One Candle Rule",NVDA,,,0.0,0.0,,1000.0,-137553.99774775
Backtesting,228710.0,225440.0,228.71,225.44,97.9,3340.0,225.37,2024-01-11 16:58:00 UTC,2024-01-11,12:22:10 EST,0.0,"",8650.0,228.71,2,225.44,3270.0,-1560.0,3270.0,TSLA,stock,"",3270.0,0.01450497,2024-01-11,09:58:00 EST,,2.09615385,,-75.0,3340.0,228.785,225.37,2.09615385,,false,short,Win,"Break and Retest , One Candle Rule",TSLA,,,0.0,0.0,,1000.0,97.90419162
Backtesting,201366.0,200268.0,223.74,222.52,,1440.0,225.34,2024-01-12 14:45:00 UTC,2024-01-12,10:11:30 EST,0.0,"",1590.0,223.74,2,222.52,-1098.0,-1098.0,2169.0,TSLA,stock,"",-1098.0,-0.00545276,2024-01-12,09:45:00 EST,,1.97540984,,-1251.0,1440.0,222.35,225.34,-1.0,,false,long,Loss,"Break and Retest , One Candle Rule",TSLA,,,0.0,0.0,,900.0,-87.76978417
Backtesting,556150.0,554980.0,556.15,554.98,,,,,2024-01-16,09:41:05 EST,0.0,"",65.0,556.15,2,554.98,-1170.0,-1170.0,2740.0,NVDA,stock,"",-1170.0,-0.00210375,2024-01-16,09:40:00 EST,,2.34188034,,-500678.0,0.0,55.472,55.693,-1.0,,false,long,Loss,"Break and Retest , One Candle Rule",NVDA,,,0.0,0.0,,1000.0,-0.23368313
Backtesting,557251.0,562070.0,557.251,562.07,,,,,2024-01-16,10:32:41 EST,0.0,"",2621.0,557.2506,2,562.07,4819.4,-2270.6,4819.4,NVDA,stock,"",4819.4,0.00864853,2024-01-16,09:49:00 EST,,2.12252268,,-501736.6,0.0,55.514,56.2356,2.12252268,,false,long,Win,"Break and Retest , One Candle Rule",NVDA,,,0.0,0.0,,1000.0,0.96054384
Backtesting,573595.0,572490.0,573.595,572.49,,,,,2024-01-18,09:50:19 EST,0.0,"",679.0,573.595,2,572.49,-1105.0,-1105.0,1755.0,NVDA,stock,"",-1105.0,-0.00192645,2024-01-18,09:39:00 EST,,1.58823529,,-516421.7,0.0,57.1733,57.52,-1.0,,false,long,Loss,"Break and Retest , One Candle Rule",NVDA,,,0.0,0.0,,1000.0,-0.21397242
