symbol,day,time,direction,bot_grade,bot_status,taken,min_since_open,stop_pct,dist_nearest_level_pct,levels_in_2r_path,clear_road,capture_rank_dir,body_ratio,displacement,open_pos_in_pd_range,with_day_trend,is_first_5min,risk_reward_room
AAPL,2024-08-23,13:11,put,D,skipped_d,0,221.0,0.049,0.049,0,0,12,0.55,1.51,0.4,1,0,5.0
AAPL,2024-08-23,13:12,put,D,skipped_d,0,222.0,0.018,0.018,0,0,13,0.692,1.65,0.4,1,0,5.0
AAPL,2024-08-23,13:39,call,D,skipped_d,0,249.0,0.009,0.009,0,0,17,0.125,2.22,0.4,1,0,5.0
AAPL,2024-08-23,13:40,call,D,skipped_d,0,250.0,0.004,0.004,0,0,18,0.167,1.21,0.4,1,0,5.0
AAPL,2024-08-23,13:41,call,D,skipped_d,0,251.0,0.018,0.018,0,0,19,0.567,1.24,0.4,1,0,5.0
AAPL,2024-08-23,13:42,call,D,skipped_d,0,252.0,0.055,0.055,1,0,20,0.947,1.75,0.4,1,0,5.0
AAPL,2024-08-23,13:44,call,D,skipped_d,0,254.0,0.132,0.0,0,0,21,0.87,2.77,0.4,1,0,5.0
AAPL,2024-08-23,13:46,call,D,skipped_d,0,256.0,0.042,0.057,1,0,22,0.358,2.16,0.4,1,0,5.0
AAPL,2024-08-23,13:49,call,D,skipped_d,0,259.0,0.029,0.029,0,0,23,0.5,2.08,0.4,1,0,3.62
AAPL,2024-08-23,13:51,call,D,skipped_d,0,261.0,0.009,0.009,0,0,24,0.5,1.46,0.4,1,0,5.0
AAPL,2024-08-23,13:52,call,D,skipped_d,0,262.0,0.049,0.049,1,0,25,0.425,1.66,0.4,1,0,5.0
AAPL,2024-08-23,13:53,call,D,skipped_d,0,263.0,0.108,0.024,1,0,26,0.853,2.63,0.4,1,0,5.0
AAPL,2024-08-23,13:55,call,D,skipped_d,0,265.0,0.052,0.052,1,0,27,0.727,1.43,0.4,1,0,5.0
AAPL,2024-08-23,13:56,call,D,skipped_d,0,266.0,0.004,0.004,0,0,28,0.454,2.96,0.4,1,0,5.0
AAPL,2024-08-23,13:57,call,D,skipped_d,0,267.0,0.013,0.013,0,0,29,0.222,2.82,0.4,1,0,5.0
AAPL,2024-08-23,13:58,call,D,skipped_d,0,268.0,0.022,0.022,0,0,30,0.283,1.92,0.4,1,0,5.0
AAPL,2024-08-23,14:01,call,D,skipped_d,0,271.0,0.009,0.009,0,0,31,0.444,1.36,0.4,1,0,5.0
AAPL,2024-08-23,14:03,call,D,skipped_d,0,273.0,0.031,0.031,0,0,32,0.286,1.05,0.4,1,0,3.29
AAPL,2024-08-23,14:04,call,D,skipped_d,0,274.0,0.075,0.057,1,0,33,1.0,1.34,0.4,1,0,5.0
AAPL,2024-08-23,14:05,call,D,skipped_d,0,275.0,0.04,0.04,0,0,34,0.819,1.49,0.4,1,0,2.33
AAPL,2024-08-23,14:19,call,D,skipped_d,0,289.0,0.027,0.027,0,0,35,0.454,2.73,0.4,1,0,4.0
AAPL,2024-08-23,14:20,call,D,skipped_d,0,290.0,0.049,0.049,1,0,36,0.704,1.47,0.4,1,0,5.0
AAPL,2024-08-23,14:21,call,D,skipped_d,0,291.0,0.062,0.062,1,0,37,0.667,1.53,0.4,1,0,5.0
AAPL,2024-08-23,14:26,call,D,skipped_d,0,296.0,0.009,0.009,0,0,38,0.626,1.69,0.4,1,0,5.0
AAPL,2024-08-23,14:39,call,D,skipped_d,0,309.0,0.013,0.013,0,0,39,0.37,1.57,0.4,1,0,5.0
AAPL,2024-08-23,14:40,call,D,skipped_d,0,310.0,0.012,0.012,0,0,40,0.082,1.44,0.4,1,0,5.0
AAPL,2024-08-23,14:41,call,D,skipped_d,0,311.0,0.009,0.009,0,0,41,0.078,1.55,0.4,1,0,5.0
AAPL,2024-08-23,14:43,call,D,skipped_d,0,313.0,0.047,0.047,0,0,42,0.63,1.47,0.4,1,0,5.0
AAPL,2024-08-23,14:44,call,D,skipped_d,0,314.0,0.062,0.062,0,0,43,0.798,1.39,0.4,1,0,5.0
AAPL,2024-08-23,15:08,call,D,skipped_d,1,338.0,0.029,0.029,0,0,44,0.864,1.33,0.4,1,0,5.0
AAPL,2024-08-23,15:11,call,D,skipped_d,1,341.0,0.123,0.123,0,0,45,0.65,2.75,0.4,1,0,5.0
AAPL,2024-08-23,15:50,call,C,skipped_tight_stop,0,380.0,0.163,0.163,0,0,46,0.554,2.85,0.4,1,0,4.05
AAPL,2024-11-08,09:37,call,D,skipped_d,0,7.0,0.075,0.02,0,0,1,0.203,1.6,0.79,1,0,3.62
AAPL,2024-11-08,09:37,call,D,skipped_d,0,7.0,0.02,0.02,0,0,2,0.203,1.6,0.79,1,0,5.0
AAPL,2024-11-08,09:38,call,B,fired,0,8.0,0.153,0.099,1,0,3,0.684,1.13,0.79,1,0,5.0
AAPL,2024-11-08,09:38,call,D,skipped_d,0,8.0,0.099,0.099,1,0,4,0.684,1.13,0.79,1,0,5.0
AAPL,2024-11-08,09:39,call,C,fired,0,9.0,0.247,0.096,1,0,5,0.896,1.45,0.79,1,0,5.0
AAPL,2024-11-08,09:39,call,C,fired,0,9.0,0.193,0.096,1,0,6,0.896,1.45,0.79,1,0,5.0
AAPL,2024-11-08,09:47,call,D,skipped_d,0,17.0,0.031,0.024,1,0,7,0.883,1.67,0.79,1,0,5.0
AAPL,2024-11-08,09:57,call,D,skipped_d,0,27.0,0.011,0.011,0,0,8,0.06,1.66,0.79,1,0,4.0
AAPL,2024-11-08,09:58,call,D,skipped_d,0,28.0,0.002,0.002,0,0,9,0.23,1.38,0.79,1,0,5.0
AAPL,2024-11-08,10:01,call,D,skipped_d,0,31.0,0.002,0.002,0,0,10,0.75,1.61,0.79,1,0,5.0
AAPL,2024-11-08,10:02,call,D,skipped_d,0,32.0,0.009,0.009,0,0,11,0.095,2.09,0.79,1,0,5.0
AAPL,2024-11-08,10:07,call,D,skipped_d,0,37.0,0.059,0.004,0,0,12,0.739,1.56,0.79,1,0,4.81
AAPL,2024-11-08,10:09,call,D,skipped_d,0,39.0,0.024,0.024,1,0,13,0.0,1.17,0.79,1,0,5.0
AAPL,2024-11-08,10:10,call,D,skipped_d,0,40.0,0.046,0.009,1,0,14,0.546,1.02,0.79,1,0,5.0
AAPL,2024-11-08,10:12,call,D,skipped_d,0,42.0,0.039,0.015,1,0,15,0.175,1.3,0.79,1,0,5.0
AAPL,2024-11-08,10:17,call,D,skipped_d,0,47.0,0.015,0.015,0,0,16,0.385,1.8,0.79,1,0,2.57
AAPL,2024-11-08,10:18,call,D,skipped_d,0,48.0,0.026,0.026,1,0,17,0.299,1.17,0.79,1,0,5.0
AAPL,2024-11-08,10:19,call,D,skipped_d,0,49.0,0.068,0.013,0,0,18,0.529,1.26,0.79,1,0,4.06
AAPL,2024-11-08,10:20,call,D,skipped_d,0,50.0,0.103,0.048,0,0,19,0.615,1.54,0.79,1,0,2.34
AAPL,2024-11-08,10:20,call,D,skipped_d,0,50.0,0.048,0.048,0,0,20,0.615,1.54,0.79,1,0,5.0
AAPL,2024-11-08,10:40,put,D,skipped_d,0,70.0,0.086,0.073,1,0,1,0.9,1.9,0.79,1,0,5.0
AAPL,2024-11-08,10:41,put,D,skipped_d,0,71.0,0.059,0.022,1,0,2,0.75,2.21,0.79,0,0,3.04
AAPL,2024-11-08,10:42,put,D,skipped_d,0,72.0,0.063,0.063,1,0,3,0.803,2.1,0.79,1,0,5.0
AAPL,2024-11-08,10:45,put,D,skipped_d,0,75.0,0.039,0.039,0,0,4,0.605,1.18,0.79,1,0,3.11
AAPL,2024-11-08,10:46,put,D,skipped_d,0,76.0,0.124,0.035,1,0,5,0.876,2.26,0.79,1,0,5.0
AAPL,2024-11-08,10:59,put,D,skipped_d,0,89.0,0.119,0.119,0,0,6,0.951,2.55,0.79,1,0,5.0
AAPL,2024-11-08,11:00,put,B,fired,0,90.0,0.163,0.163,0,0,7,0.874,2.88,0.79,1,0,4.97
AAPL,2024-11-08,11:01,put,D,skipped_d,0,91.0,0.055,0.055,0,0,8,0.911,1.86,0.79,1,0,5.0
AAPL,2024-11-08,11:06,put,D,skipped_d,0,96.0,0.084,0.084,0,0,9,1.0,1.95,0.79,1,0,5.0
AAPL,2024-11-08,11:15,put,D,skipped_d,0,105.0,0.077,0.077,0,0,10,0.225,1.33,0.79,1,0,5.0
AAPL,2024-11-08,11:17,put,D,skipped_d,0,107.0,0.007,0.007,0,0,11,0.612,1.31,0.79,1,0,5.0
AAPL,2024-11-08,11:35,put,D,skipped_d,0,125.0,0.004,0.004,0,0,12,0.375,1.67,0.79,1,0,5.0
AAPL,2024-11-08,12:06,put,D,skipped_d,0,156.0,0.035,0.035,0,0,13,0.36,1.87,0.79,1,0,3.5
AAPL,2024-11-08,12:10,put,D,skipped_d,0,160.0,0.018,0.018,0,0,14,0.2,1.48,0.79,1,0,5.0
AAPL,2024-11-08,12:11,put,D,skipped_d,0,161.0,0.062,0.062,1,0,15,0.714,2.5,0.79,1,0,5.0
AAPL,2024-11-08,12:14,put,D,skipped_d,0,164.0,0.044,0.044,0,0,16,0.143,1.88,0.79,1,0,2.6
AAPL,2024-11-08,12:15,put,D,skipped_d,0,165.0,0.013,0.013,0,0,17,0.875,1.84,0.79,1,0,5.0
AAPL,2024-11-08,12:44,put,D,skipped_d,0,194.0,0.02,0.02,0,0,18,0.83,1.2,0.79,1,0,5.0
AAPL,2024-11-08,12:45,put,D,skipped_d,0,195.0,0.026,0.026,0,0,19,0.25,0.91,0.79,1,0,5.0
AAPL,2024-11-08,12:48,put,D,skipped_d,0,198.0,0.018,0.018,0,0,20,0.137,0.95,0.79,1,0,5.0
AAPL,2024-11-08,12:58,put,D,skipped_d,0,208.0,0.04,0.04,0,0,21,0.897,2.77,0.79,1,0,3.0
AAPL,2024-11-08,13:08,put,D,skipped_d,0,218.0,0.015,0.015,0,0,22,0.625,2.33,0.79,1,0,5.0
AAPL,2024-11-08,13:09,put,D,skipped_d,0,219.0,0.048,0.048,0,0,23,0.882,1.99,0.79,1,0,2.27
AAPL,2024-11-08,13:10,put,D,skipped_d,0,220.0,0.073,0.073,1,0,24,0.666,3.02,0.79,1,0,5.0
AAPL,2024-11-08,13:34,put,D,skipped_d,0,244.0,0.002,0.002,0,0,25,0.651,2.52,0.79,1,0,5.0
AAPL,2024-11-08,15:43,put,D,skipped_d,0,373.0,0.048,0.048,0,0,26,0.729,2.14,0.79,1,0,2.28
AAPL,2024-11-08,15:50,put,D,skipped_d,0,380.0,0.026,0.026,0,0,27,0.245,3.93,0.79,1,0,5.0
AAPL,2024-11-08,15:53,put,D,skipped_d,0,383.0,0.031,0.031,0,0,28,0.7,2.32,0.79,1,0,4.14
AAPL,2024-11-08,15:55,put,D,skipped_d,0,385.0,0.051,0.051,0,0,29,0.145,2.55,0.79,1,0,2.13
AAPL,2024-11-25,09:36,call,D,skipped_d,0,6.0,0.052,0.052,0,1,1,0.231,1.81,1.28,1,0,5.0
AAPL,2024-11-25,09:39,call,D,skipped_d,0,9.0,0.045,0.045,0,1,2,0.772,0.85,1.28,1,0,5.0
AAPL,2024-11-25,09:41,call,D,skipped_d,0,11.0,0.052,0.052,0,1,3,0.796,0.81,1.28,1,0,5.0
AAPL,2024-11-25,09:42,call,B,fired,0,12.0,0.155,0.155,0,1,4,1.0,1.27,1.28,1,0,5.0
AAPL,2024-11-25,09:44,call,C,fired,0,14.0,0.24,0.24,0,1,5,0.522,1.22,1.28,1,0,5.0
AAPL,2024-11-25,09:55,call,D,skipped_d,0,25.0,0.034,0.034,0,1,6,0.722,2.32,1.28,1,0,5.0
AAPL,2024-11-25,09:57,call,D,skipped_d,0,27.0,0.004,0.004,0,1,7,0.0,1.42,1.28,1,0,5.0
AAPL,2024-11-25,09:58,call,D,skipped_d,0,28.0,0.017,0.017,0,1,8,0.151,1.34,1.28,1,0,5.0
AAPL,2024-11-25,09:59,call,D,skipped_d,0,29.0,0.009,0.009,0,1,9,0.071,1.05,1.28,1,0,5.0
AAPL,2024-11-25,10:18,call,D,skipped_d,0,48.0,0.041,0.041,0,0,10,0.37,1.97,1.28,1,0,5.0
AAPL,2024-11-25,10:19,call,D,skipped_d,0,49.0,0.011,0.011,0,0,11,0.5,1.92,1.28,1,0,5.0
AAPL,2024-11-25,10:20,call,D,skipped_d,0,50.0,0.117,0.117,0,0,12,0.906,1.58,1.28,1,0,2.31
AAPL,2024-11-25,10:48,call,D,skipped_d,0,78.0,0.043,0.043,0,1,13,0.857,1.3,1.28,1,0,5.0
AAPL,2024-11-25,10:50,call,D,skipped_d,0,80.0,0.021,0.021,0,1,14,0.268,1.42,1.28,1,0,5.0
AAPL,2024-11-25,10:51,call,D,skipped_d,0,81.0,0.049,0.071,1,0,15,0.677,2.01,1.28,1,0,5.0
AAPL,2024-11-25,10:52,call,D,skipped_d,0,82.0,0.056,0.064,1,0,16,0.092,1.81,1.28,1,0,5.0
AAPL,2024-11-25,10:53,call,D,skipped_d,0,83.0,0.052,0.069,1,0,17,0.222,1.88,1.28,1,0,5.0
AAPL,2024-11-25,11:30,call,D,skipped_d,0,120.0,0.037,0.037,0,0,18,0.433,2.32,1.28,1,0,5.0
AAPL,2024-11-25,11:34,put,D,skipped_d,0,124.0,0.115,0.115,1,0,1,0.751,4.86,1.28,1,0,5.0
AAPL,2024-11-25,11:48,put,D,skipped_d,0,138.0,0.024,0.024,0,0,2,0.0,1.54,1.28,1,0,5.0
AAPL,2024-11-25,11:49,put,D,skipped_d,0,139.0,0.076,0.076,0,0,3,0.667,1.6,1.28,1,0,3.0
AAPL,2024-11-25,11:51,put,D,skipped_d,0,141.0,0.082,0.082,0,0,4,0.734,1.4,1.28,1,0,2.68
AAPL,2024-11-25,12:05,call,D,skipped_d,0,155.0,0.037,0.037,0,0,19,0.173,2.11,1.28,0,0,5.0
AAPL,2024-11-25,12:49,put,D,skipped_d,0,199.0,0.06,0.307,0,0,5,0.069,2.08,1.28,1,0,5.0
AAPL,2024-11-25,12:57,call,D,skipped_d,0,207.0,0.126,0.2,1,0,20,0.714,2.48,1.28,0,0,4.0
AAPL,2024-11-25,13:00,call,D,skipped_d,0,210.0,0.093,0.232,0,0,21,0.471,1.24,1.28,0,0,2.49
AAPL,2024-11-25,14:50,call,D,skipped_d,0,320.0,0.048,0.048,0,0,22,0.556,1.22,1.28,0,0,5.0
AAPL,2024-11-25,14:54,call,D,skipped_d,0,324.0,0.002,0.002,0,0,23,0.75,1.7,1.28,0,0,5.0
AAPL,2024-11-25,14:55,call,D,skipped_d,0,325.0,0.002,0.002,0,0,24,0.071,2.04,1.28,0,0,5.0
AAPL,2024-11-25,14:57,call,D,skipped_d,0,327.0,0.013,0.013,0,0,25,0.129,1.05,1.28,0,0,5.0
AAPL,2024-11-25,15:01,put,D,skipped_d,0,331.0,0.017,0.03,0,0,6,0.7,1.65,1.28,1,0,5.0
AAPL,2024-11-25,15:55,call,D,skipped_d,0,385.0,0.107,0.107,0,1,26,0.333,2.81,1.28,1,0,5.0
AAPL,2024-11-25,15:56,call,C,fired,0,386.0,0.216,0.216,0,1,27,0.533,2.57,1.28,1,0,5.0
AAPL,2024-12-13,09:36,call,B,fired,0,6.0,0.181,0.157,1,0,1,0.718,2.18,0.7,1,0,5.0
AAPL,2024-12-13,09:36,call,C,skipped_tight_stop,0,6.0,0.157,0.157,1,0,2,0.718,2.18,0.7,1,0,5.0
AAPL,2024-12-13,09:47,call,D,skipped_d,0,17.0,0.052,0.052,0,0,3,0.636,1.17,0.7,1,0,5.0
AAPL,2024-12-13,09:48,call,D,skipped_d,0,18.0,0.101,0.101,0,0,4,0.676,0.99,0.7,1,0,2.29
AAPL,2024-12-13,10:11,put,D,skipped_d,0,41.0,0.011,0.011,0,0,1,0.325,1.32,0.7,1,0,5.0
AAPL,2024-12-13,10:16,put,D,skipped_d,0,46.0,0.02,0.02,0,0,2,0.578,1.44,0.7,1,0,5.0
AAPL,2024-12-13,10:18,put,D,skipped_d,0,48.0,0.026,0.026,0,0,3,0.902,1.02,0.7,1,0,5.0
AAPL,2024-12-13,10:34,put,D,skipped_d,0,64.0,0.008,0.008,0,0,4,0.902,1.73,0.7,1,0,5.0
AAPL,2024-12-13,10:36,put,D,skipped_d,0,66.0,0.04,0.04,0,0,5,0.679,2.3,0.7,1,0,5.0
AAPL,2024-12-13,11:10,put,D,skipped_d,0,100.0,0.077,0.097,1,0,6,0.19,1.44,0.7,1,0,5.0
AAPL,2024-12-13,11:40,put,D,skipped_d,0,130.0,0.012,0.012,0,0,7,0.286,1.2,0.7,1,0,5.0
AAPL,2024-12-13,11:45,put,D,skipped_d,0,135.0,0.01,0.01,0,0,8,0.819,2.46,0.7,1,0,5.0
AAPL,2024-12-13,11:46,put,D,skipped_d,0,136.0,0.016,0.016,0,0,9,0.236,2.47,0.7,1,0,5.0
AAPL,2024-12-13,11:50,put,D,skipped_d,0,140.0,0.028,0.028,0,0,10,0.56,1.59,0.7,1,0,5.0
AAPL,2024-12-13,11:54,put,D,skipped_d,0,144.0,0.02,0.02,0,0,11,1.0,1.18,0.7,1,0,5.0
AAPL,2024-12-13,12:09,put,D,skipped_d,0,159.0,0.049,0.049,0,0,12,0.25,1.29,0.7,1,0,5.0
AAPL,2024-12-13,12:13,put,D,skipped_d,0,163.0,0.018,0.018,0,0,13,0.937,2.14,0.7,1,0,5.0
AAPL,2024-12-13,12:14,put,D,skipped_d,0,164.0,0.059,0.059,0,0,14,0.773,3.02,0.7,1,0,4.66
AAPL,2024-12-13,12:15,put,D,skipped_d,0,165.0,0.089,0.089,0,0,15,0.833,3.18,0.7,1,0,2.73
AAPL,2024-12-13,12:21,put,D,skipped_d,0,171.0,0.013,0.013,0,0,16,0.222,1.87,0.7,1,0,5.0
AAPL,2024-12-13,12:22,put,D,skipped_d,0,172.0,0.053,0.053,0,0,17,0.666,2.0,0.7,1,0,5.0
AAPL,2024-12-13,12:27,put,D,skipped_d,0,177.0,0.02,0.02,0,0,18,0.983,1.23,0.7,1,0,5.0
AAPL,2024-12-13,12:28,put,D,skipped_d,0,178.0,0.037,0.037,0,0,19,0.502,1.05,0.7,1,0,5.0
AAPL,2024-12-13,12:30,put,D,skipped_d,0,180.0,0.051,0.051,0,0,20,0.731,1.33,0.7,1,0,5.0
AAPL,2024-12-13,13:11,call,D,skipped_d,0,221.0,0.023,0.09,0,0,5,0.599,1.69,0.7,0,0,5.0
AAPL,2024-12-13,13:12,call,D,skipped_d,0,222.0,0.03,0.097,0,0,6,0.444,1.76,0.7,0,0,5.0
AAPL,2024-12-13,13:52,put,D,skipped_d,0,262.0,0.032,0.032,0,0,21,0.653,2.23,0.7,1,0,5.0
AAPL,2024-12-13,13:56,put,D,skipped_d,0,266.0,0.006,0.006,0,0,22,0.651,1.9,0.7,1,0,5.0
AAPL,2024-12-13,13:57,put,D,skipped_d,0,267.0,0.008,0.008,0,0,23,0.085,1.58,0.7,1,0,5.0
AAPL,2024-12-13,14:00,put,D,skipped_d,0,270.0,0.006,0.006,0,0,24,0.942,2.13,0.7,1,0,5.0
AAPL,2024-12-13,14:01,put,D,skipped_d,0,271.0,0.02,0.02,0,0,25,0.752,2.38,0.7,1,0,5.0
AAPL,2024-12-13,14:16,put,D,skipped_d,0,286.0,0.038,0.002,1,0,26,0.583,1.96,0.7,1,0,5.0
AAPL,2024-12-13,14:17,put,D,skipped_d,0,287.0,0.006,0.006,0,0,27,0.302,1.15,0.7,1,0,5.0
AAPL,2024-12-13,14:20,put,D,skipped_d,0,290.0,0.01,0.01,0,0,28,0.588,1.07,0.7,1,0,5.0
AAPL,2024-12-13,14:21,put,D,skipped_d,0,291.0,0.004,0.004,0,0,29,0.214,1.12,0.7,1,0,5.0
AAPL,2024-12-13,14:51,put,D,skipped_d,0,321.0,0.004,0.004,0,0,30,0.667,1.51,0.7,1,0,5.0
AAPL,2025-01-27,09:38,call,D,skipped_d,0,8.0,0.078,0.078,0,0,1,0.76,1.56,0.62,1,0,5.0
AAPL,2025-01-27,09:40,call,A,fired,0,10.0,0.7,0.101,0,1,2,0.963,2.05,0.62,1,0,5.0
AAPL,2025-01-27,09:41,call,D,skipped_d,0,11.0,0.123,0.123,0,1,3,0.119,2.24,0.62,1,0,5.0
AAPL,2025-01-27,09:46,call,C,skipped_tight_stop,0,16.0,0.163,0.163,0,1,4,0.935,1.12,0.62,1,0,5.0
AAPL,2025-01-27,09:53,call,C,fired,0,23.0,0.237,0.237,0,1,5,0.445,1.2,0.62,1,0,5.0
AAPL,2025-01-27,09:57,call,D,skipped_d,0,27.0,0.009,0.009,0,0,6,0.836,3.13,0.62,1,0,5.0
AAPL,2025-01-27,09:58,call,D,skipped_d,0,28.0,0.093,0.093,0,0,7,0.356,2.68,0.62,1,0,5.0
AAPL,2025-01-27,09:59,call,D,skipped_d,0,29.0,0.013,0.013,0,0,8,0.407,1.58,0.62,1,0,5.0
AAPL,2025-01-27,10:08,call,D,skipped_d,0,38.0,0.009,0.009,0,0,9,0.625,2.05,0.62,1,0,5.0
AAPL,2025-01-27,10:20,call,D,skipped_d,0,50.0,0.089,0.089,0,0,10,0.698,1.7,0.62,1,0,5.0
AAPL,2025-01-27,10:22,call,D,skipped_d,0,52.0,0.146,0.146,0,0,11,0.744,1.16,0.62,1,0,3.12
AAPL,2025-01-27,10:23,call,C,fired,0,53.0,0.27,0.27,1,0,12,0.814,2.04,0.62,1,0,5.0
