Datetime,Adj Close,Close,High,Low,Open,Volume
2026-07-06 04:00:00-04:00,169.3292,169.3292,169.8,168.08,168.58,0
2026-07-06 04:01:00-04:00,169.44,169.44,169.69,168.02,169.69,0
2026-07-06 04:02:00-04:00,169.7237,169.7237,169.9922,169.66,169.66,0
2026-07-06 04:03:00-04:00,169.337,169.337,169.82,169.337,169.69,0
2026-07-06 04:04:00-04:00,169.94,169.94,169.94,169.6,169.9,0
2026-07-06 04:05:00-04:00,170.4814,170.4814,170.55,169.91,169.91,0
2026-07-06 04:06:00-04:00,170.5,170.5,170.8,168.17,170.5,0
2026-07-06 04:07:00-04:00,170.55,170.55,170.55,170.55,170.55,0
2026-07-06 04:08:00-04:00,170.08,170.08,170.4,170.08,170.36,0
2026-07-06 04:09:00-04:00,170.39,170.39,170.39,170.39,170.39,0
2026-07-06 04:10:00-04:00,169.91,169.91,170.35,169.9,170.35,0
2026-07-06 04:11:00-04:00,169.75,169.75,170.0,169.66,169.91,0
2026-07-06 04:12:00-04:00,169.75,169.75,169.75,169.75,169.75,0
2026-07-06 04:13:00-04:00,169.75,169.75,169.75,169.75,169.75,0
2026-07-06 04:14:00-04:00,169.9,169.9,169.9,169.4799,169.4799,0
2026-07-06 04:15:00-04:00,169.88,169.88,169.88,169.66,169.66,0
2026-07-06 04:18:00-04:00,169.55,169.55,169.7263,169.55,169.7263,0
2026-07-06 04:19:00-04:00,169.8,169.8,169.8,169.43,169.43,0
2026-07-06 04:20:00-04:00,170.1837,170.1837,170.1837,169.75,169.75,0
2026-07-06 04:21:00-04:00,170.1,170.1,170.18,170.1,170.18,0
2026-07-06 04:22:00-04:00,169.7844,169.7844,169.7844,169.7844,169.7844,0
2026-07-06 04:23:00-04:00,169.75,169.75,169.75,169.75,169.75,0
2026-07-06 04:24:00-04:00,170.11,170.11,170.11,169.76,169.76,0
2026-07-06 04:25:00-04:00,170.07,170.07,170.07,170.07,170.07,0
2026-07-06 04:26:00-04:00,169.8,169.8,170.0,169.8,170.0,0
2026-07-06 04:27:00-04:00,169.9,169.9,169.9,169.8,169.8,0
