Datetime,Adj Close,Close,High,Low,Open,Volume
2026-07-06 04:00:00-04:00,399.0917,399.0917,399.5,396.0065,399.4,0
2026-07-06 04:01:00-04:00,398.8675,398.8675,399.0988,396.1,399.0917,0
2026-07-06 04:02:00-04:00,399.09,399.09,399.2937,398.79,398.8688,0
2026-07-06 04:03:00-04:00,399.1634,399.1634,399.2952,398.92,399.06,0
2026-07-06 04:04:00-04:00,398.7972,398.7972,399.1665,398.77,399.16,0
2026-07-06 04:05:00-04:00,399.07,399.07,399.1,396.1,398.807,0
2026-07-06 04:06:00-04:00,399.0,399.0,399.348,398.98,399.1574,0
2026-07-06 04:07:00-04:00,398.909,398.909,399.25,398.81,399.25,0
2026-07-06 04:08:00-04:00,398.99,398.99,399.11,398.92,399.11,0
2026-07-06 04:09:00-04:00,399.02,399.02,399.2,398.8768,398.9872,0
2026-07-06 04:10:00-04:00,399.1,399.1,399.2437,398.9,399.01,0
2026-07-06 04:11:00-04:00,398.9,398.9,399.25,398.8,399.24,0
2026-07-06 04:12:00-04:00,398.72,398.72,398.9607,398.22,398.77,0
2026-07-06 04:13:00-04:00,398.36,398.36,398.72,398.0267,398.35,0
2026-07-06 04:14:00-04:00,398.4,398.4,398.49,398.25,398.49,0
2026-07-06 04:15:00-04:00,398.03,398.03,398.4,398.0,398.3962,0
2026-07-06 04:16:00-04:00,397.9835,397.9835,398.39,397.7365,397.97,0
2026-07-06 04:17:00-04:00,398.0608,398.0608,398.0608,397.73,397.7365,0
2026-07-06 04:18:00-04:00,398.65,398.65,398.985,398.0,398.0,0
2026-07-06 04:19:00-04:00,398.8988,398.8988,399.0,398.3857,398.65,0
2026-07-06 04:20:00-04:00,398.5942,398.5942,398.7892,398.3757,398.7892,0
2026-07-06 04:21:00-04:00,398.5977,398.5977,398.6,398.5,398.6,0
2026-07-06 04:22:00-04:00,398.5988,398.5988,398.5988,398.45,398.53,0
2026-07-06 04:23:00-04:00,398.5947,398.5947,398.595,398.4,398.45,0
2026-07-06 04:24:00-04:00,398.46,398.46,398.6737,398.39,398.5947,0
2026-07-06 04:25:00-04:00,398.48,398.48,398.6747,398.46,398.4655,0
2026-07-06 04:26:00-04:00,398.6788,398.6788,398.68,398.37,398.68,0
2026-07-06 04:27:00-04:00,398.4025,398.4025,398.6727,398.3927,398.5,0
2026-07-06 04:28:00-04:00,398.4982,398.4982,398.4982,398.42,398.4975,0
2026-07-06 04:29:00-04:00,398.53,398.53,398.53,398.44,398.4512,0
2026-07-06 04:30:00-04:00,398.41,398.41,398.6742,398.41,398.47,0
2026-07-06 04:31:00-04:00,398.4842,398.4842,398.6588,398.4594,398.4594,0
2026-07-06 04:32:00-04:00,398.5,398.5,398.6488,398.42,398.646,0
2026-07-06 04:33:00-04:00,398.4787,398.4787,398.498,398.37,398.4979,0
2026-07-06 04:34:00-04:00,398.24,398.24,398.4495,398.0612,398.33,0
2026-07-06 04:35:00-04:00,398.2475,398.2475,398.2475,398.12,398.2462,0
2026-07-06 04:36:00-04:00,398.2477,398.2477,398.25,398.1135,398.18,0
2026-07-06 04:37:00-04:00,398.15,398.15,398.25,398.1135,398.2477,0
2026-07-06 04:38:00-04:00,398.21,398.21,398.2475,398.1125,398.2475,0
2026-07-06 04:39:00-04:00,398.2,398.2,398.208,398.1222,398.1222,0
2026-07-06 04:40:00-04:00,398.4637,398.4637,398.49,398.1882,398.2,0
2026-07-06 04:41:00-04:00,398.46,398.46,398.4795,398.4307,398.47,0
2026-07-06 04:42:00-04:00,398.46,398.46,398.52,398.4507,398.4507,0
2026-07-06 04:43:00-04:00,398.4992,398.4992,398.53,398.461,398.4636,0
2026-07-06 04:44:00-04:00,398.5,398.5,398.71,398.47,398.52,0
2026-07-06 04:45:00-04:00,398.47,398.47,398.9455,398.47,398.58,0
2026-07-06 04:46:00-04:00,398.49,398.49,398.95,398.46,398.53,0
2026-07-06 04:47:00-04:00,398.5,398.5,398.91,398.49,398.49,0
2026-07-06 04:48:00-04:00,398.54,398.54,398.54,398.52,398.52,0
2026-07-06 04:49:00-04:00,398.61,398.61,398.8537,398.61,398.7844,0
2026-07-06 04:50:00-04:00,398.8325,398.8325,398.8535,398.6579,398.6579,0
2026-07-06 04:51:00-04:00,398.7992,398.7992,398.97,398.7652,398.97,0
2026-07-06 04:52:00-04:00,398.95,398.95,398.97,398.85,398.87,0
2026-07-06 04:53:00-04:00,398.95,398.95,398.95,398.7629,398.85,0
2026-07-06 04:54:00-04:00,398.87,398.87,398.9457,398.75,398.75,0
2026-07-06 04:55:00-04:00,398.97,398.97,398.97,398.89,398.948,0
2026-07-06 04:56:00-04:00,398.9445,398.9445,398.97,398.9152,398.97,0
2026-07-06 04:57:00-04:00,398.9942,398.9942,399.0,398.7355,398.9445,0
2026-07-06 04:58:00-04:00,399.11,399.11,399.1557,398.99,399.0227,0
2026-07-06 04:59:00-04:00,399.3362,399.3362,399.3488,399.12,399.19,0
2026-07-06 05:00:00-04:00,399.147,399.147,399.3049,399.1412,399.16,0
2026-07-06 05:01:00-04:00,399.3462,399.3462,399.3488,399.1472,399.1472,0
2026-07-06 05:02:00-04:00,399.3204,399.3204,399.35,399.32,399.34,0
2026-07-06 05:03:00-04:00,399.28,399.28,399.32,399.2027,399.32,0
2026-07-06 05:04:00-04:00,399.1855,399.1855,399.308,399.006,399.28,0
2026-07-06 05:05:00-04:00,399.05,399.05,399.0784,398.888,399.06,0
2026-07-06 05:06:00-04:00,399.0,399.0,399.2288,399.0,399.0,0
2026-07-06 05:07:00-04:00,399.1952,399.1952,399.1952,398.92,399.04,0
2026-07-06 05:08:00-04:00,399.01,399.01,399.2,399.01,399.1952,0
2026-07-06 05:09:00-04:00,399.2,399.2,399.2,398.95,399.04,0
2026-07-06 05:10:00-04:00,399.0187,399.0187,399.15,399.0187,399.09,0
2026-07-06 05:11:00-04:00,399.05,399.05,399.05,398.96,398.9726,0
2026-07-06 05:12:00-04:00,398.91,398.91,399.1457,398.91,399.1457,0
2026-07-06 05:13:00-04:00,398.94,398.94,399.192,398.9215,399.192,0
2026-07-06 05:14:00-04:00,399.0,399.0,399.1922,398.8732,398.9893,0
2026-07-06 05:15:00-04:00,399.19,399.19,399.19,399.0,399.0,0
2026-07-06 05:16:00-04:00,399.2,399.2,399.2,399.01,399.01,0
2026-07-06 05:17:00-04:00,399.1423,399.1423,399.24,399.07,399.07,0
2026-07-06 05:18:00-04:00,399.113,399.113,399.24,399.113,399.1212,0
2026-07-06 05:19:00-04:00,399.2007,399.2007,399.23,399.1837,399.23,0
2026-07-06 05:20:00-04:00,399.1,399.1,399.23,399.1,399.18,0
2026-07-06 05:21:00-04:00,399.22,399.22,399.23,399.113,399.22,0
2026-07-06 05:22:00-04:00,399.2429,399.2429,399.2429,399.1032,399.2205,0
2026-07-06 05:23:00-04:00,399.27,399.27,399.31,399.2415,399.2415,0
2026-07-06 05:24:00-04:00,399.3,399.3,399.3348,399.2327,399.2327,0
2026-07-06 05:25:00-04:00,399.292,399.292,399.33,399.25,399.2559,0
2026-07-06 05:26:00-04:00,399.37,399.37,399.37,399.3003,399.32,0
2026-07-06 05:27:00-04:00,399.4025,399.4025,399.49,399.3017,399.35,0
2026-07-06 05:28:00-04:00,399.499,399.499,399.5,399.428,399.48,0
2026-07-06 05:29:00-04:00,399.7156,399.7156,399.75,399.4707,399.5,0
2026-07-06 05:30:00-04:00,399.72,399.72,399.77,399.71,399.75,0
2026-07-06 05:31:00-04:00,399.48,399.48,399.7622,399.29,399.7,0
2026-07-06 05:32:00-04:00,399.3232,399.3232,399.5,399.3232,399.3484,0
2026-07-06 05:33:00-04:00,399.35,399.35,399.4988,399.29,399.4947,0
2026-07-06 05:34:00-04:00,399.33,399.33,399.39,399.29,399.35,0
2026-07-06 05:35:00-04:00,399.2952,399.2952,399.35,399.17,399.311,0
2026-07-06 05:36:00-04:00,399.3,399.3,399.39,399.14,399.3,0
2026-07-06 05:37:00-04:00,399.2562,399.2562,399.5,399.2338,399.4988,0
2026-07-06 05:38:00-04:00,399.3815,399.3815,399.4957,399.29,399.29,0
2026-07-06 05:39:00-04:00,399.498,399.498,399.5,399.3342,399.3342,0
2026-07-06 05:40:00-04:00,399.4,399.4,399.5,399.4,399.4988,0
2026-07-06 05:41:00-04:00,399.48,399.48,399.5,399.4312,399.4312,0
2026-07-06 05:42:00-04:00,399.5,399.5,399.5,399.49,399.49,0
2026-07-06 05:43:00-04:00,399.57,399.57,399.57,399.42,399.55,0
2026-07-06 05:44:00-04:00,399.43,399.43,399.6188,399.3861,399.6188,0
2026-07-06 05:45:00-04:00,399.6092,399.6092,399.616,399.34,399.34,0
2026-07-06 05:46:00-04:00,399.28,399.28,399.6157,399.28,399.6157,0
2026-07-06 05:47:00-04:00,399.2852,399.2852,399.3777,399.2852,399.3777,0
2026-07-06 05:48:00-04:00,399.2472,399.2472,399.3767,399.2,399.2825,0
2026-07-06 05:49:00-04:00,399.23,399.23,399.35,399.15,399.17,0
2026-07-06 05:50:00-04:00,399.35,399.35,399.38,399.2712,399.2712,0
2026-07-06 05:51:00-04:00,399.75,399.75,399.7805,399.302,399.302,0
2026-07-06 05:52:00-04:00,399.75,399.75,399.76,399.5562,399.7402,0
2026-07-06 05:53:00-04:00,399.7982,399.7982,399.8,399.7,399.75,0
2026-07-06 05:54:00-04:00,399.9895,399.9895,399.99,399.7657,399.7985,0
2026-07-06 05:55:00-04:00,400.1,400.1,400.1,399.9331,399.99,0
2026-07-06 05:56:00-04:00,400.0245,400.0245,400.3122,400.007,400.0514,0
2026-07-06 05:57:00-04:00,400.01,400.01,400.19,399.79,400.1602,0
2026-07-06 05:58:00-04:00,400.0325,400.0325,400.19,400.0145,400.08,0
2026-07-06 05:59:00-04:00,400.08,400.08,400.13,400.03,400.1157,0
2026-07-06 06:00:00-04:00,399.88,399.88,400.1,399.79,400.1,0
2026-07-06 06:01:00-04:00,399.8816,399.8816,400.094,399.8816,399.98,0
2026-07-06 06:02:00-04:00,399.8484,399.8484,399.9867,399.8,399.97,0
2026-07-06 06:03:00-04:00,399.82,399.82,399.8475,399.73,399.79,0
